'nim','kodemk','nilaiH','TA'
'F1B111017','EU3140','B','2013/2014'
'F1B111021','EU3140','B','2013/2014'
'F1B111022','EU3140','B','2013/2014'
'F1B111024','EU3140','B','2013/2014'
'F1B111025','EU3140','C+','2013/2014'
'F1B111026','EU3140','C+','2013/2014'
'F1B111029','EU3140','B','2013/2014'
'F1B111031','EU3140','B','2013/2014'
'F1B111034','EU3140','C+','2013/2014'
'F1B111039','EU3140','B','2013/2014'
'F1B111040','EU3140','B','2013/2014'
'F1B111041','EU3140','C+','2013/2014'
'F1B111043','EU3140','B','2013/2014'
'F1B111047','EU3140','B','2013/2014'
'F1B111049','EU3140','C+','2013/2014'
'F1B111053','EU3140','C+','2013/2014'
'F1B111054','EU3140','B','2013/2014'
'F1B111059','EU3140','C+','2013/2014'
'F1B111063','EU3140','B','2013/2014'
'F1B111070','EU3140','B','2013/2014'
'F1B111075','EU3140','B','2013/2014'
'F1B111077','EU3140','C+','2013/2014'
'F1B111079','EU3140','B','2013/2014'
'F1B111080','EU3140','B','2013/2014'
'F1B111081','EU3140','B','2013/2014'
'F1B111083','EU3140','C+','2013/2014'
'F1B111088','EU3140','B','2013/2014'
'F1B110002','EU4142','A','2013/2014'
'F1B110014','EU4142','A','2013/2014'
'F1B110020','EU4142','K','2013/2014'
'F1B110021','EU4142','K','2013/2014'
'F1B110025','EU4142','K','2013/2014'
'F1B110026','EU4142','B+','2013/2014'
'F1B110028','EU4142','K','2013/2014'
'F1B110030','EU4142','K','2013/2014'
'F1B110038','EU4142','A','2013/2014'
'F1B110042','EU4142','A','2013/2014'
'F1B110045','EU4142','K','2013/2014'
'F1B110048','EU4142','A','2013/2014'
'F1B110049','EU4142','K','2013/2014'
'F1B110055','EU4142','A','2013/2014'
'F1B110057','EU4142','K','2013/2014'
'F1B110072','EU4142','K','2013/2014'
'F1B110079','EU4142','A','2013/2014'
'F1B110001','EU2126','B','2013/2014'
'F1B110014','EU2126','B','2013/2014'
'F1B110015','EU2126','B','2013/2014'
'F1B110017','EU2126','K','2013/2014'
'F1B110018','EU2126','C+','2013/2014'
'F1B110041','EU2126','C+','2013/2014'
'F1B110066','EU2126','B','2013/2014'
'F1B110068','EU2126','C+','2013/2014'
'F1B110073','EU2126','C+','2013/2014'
'F1B111004','EU2126','E','2013/2014'
'F1B111006','EU2126','E','2013/2014'
'F1B111008','EU2126','E','2013/2014'
'F1B111011','EU2126','E','2013/2014'
'F1B111014','EU2126','K','2013/2014'
'F1B111020','EU2126','K','2013/2014'
'F1B111022','EU2126','K','2013/2014'
'F1B111030','EU2126','E','2013/2014'
'F1B111032','EU2126','E','2013/2014'
'F1B111042','EU2126','K','2013/2014'
'F1B111062','EU2126','K','2013/2014'
'F1B111066','EU2126','E','2013/2014'
'F1B111072','EU2126','E','2013/2014'
'F1B112001','EU2126','B','2013/2014'
'F1B112003','EU2126','C+','2013/2014'
'F1B112004','EU2126','B','2013/2014'
'F1B112005','EU2126','C+','2013/2014'
'F1B112006','EU2126','B','2013/2014'
'F1B112015','EU2126','B','2013/2014'
'F1B112016','EU2126','C+','2013/2014'
'F1B112017','EU2126','C+','2013/2014'
'F1B112018','EU2126','C+','2013/2014'
'F1B112024','EU2126','C+','2013/2014'
'F1B112025','EU2126','B','2013/2014'
'F1B112026','EU2126','C+','2013/2014'
'F1B112027','EU2126','C','2013/2014'
'F1B112030','EU2126','C+','2013/2014'
'F1B112031','EU2126','E','2013/2014'
'F1B112034','EU2126','E','2013/2014'
'F1B112036','EU2126','B','2013/2014'
'F1B112037','EU2126','B','2013/2014'
'F1B112038','EU2126','C+','2013/2014'
'F1B112041','EU2126','K','2013/2014'
'F1B112042','EU2126','K','2013/2014'
'F1B112045','EU2126','E','2013/2014'
'F1B112046','EU2126','E','2013/2014'
'F1B112048','EU2126','C+','2013/2014'
'F1B112050','EU2126','E','2013/2014'
'F1B112051','EU2126','E','2013/2014'
'F1B112052','EU2126','E','2013/2014'
'F1B112053','EU2126','E','2013/2014'
'F1B110005','EE4111','B','2013/2014'
'F1B110028','EE4111','B+','2013/2014'
'F1B110033','EE4111','B+','2013/2014'
'F1B110036','EE4111','B','2013/2014'
'F1B110059','EE4111','B','2013/2014'
'F1B110063','EE4111','B','2013/2014'
'F1B110067','EE4111','B','2013/2014'
'F1B110077','EE4111','B','2013/2014'
'F1B110006','EL4118','E','2013/2014'
'F1B110025','EL4118','B+','2013/2014'
'F1B110027','EL4118','E','2013/2014'
'F1B110042','EL4118','B+','2013/2014'
'F1B110045','EL4118','B+','2013/2014'
'F1B110053','EL4118','C+','2013/2014'
'F1B110055','EL4118','B','2013/2014'
'F1B110057','EL4118','B','2013/2014'
'F1B110062','EL4118','B','2013/2014'
'F1B110066','EL4118','B','2013/2014'
'F1B110001','ET4111','B','2013/2014'
'F1B110014','ET4111','B','2013/2014'
'F1B110015','ET4111','C+','2013/2014'
'F1B110018','ET4111','C+','2013/2014'
'F1B110020','ET4111','K','2013/2014'
'F1B110030','ET4111','B','2013/2014'
'F1B110038','ET4111','B','2013/2014'
'F1B110040','ET4111','B','2013/2014'
'F1B110041','ET4111','B','2013/2014'
'F1B110044','ET4111','B','2013/2014'
'F1B110056','ET4111','C+','2013/2014'
'F1B110070','ET4111','B','2013/2014'
'F1B110072','ET4111','B','2013/2014'
'F1B110073','ET4111','C+','2013/2014'
'F1B112018','ET4111','K','2013/2014'
'F1B110006','EL4115','B','2013/2014'
'F1B110025','EL4115','B','2013/2014'
'F1B110027','EL4115','E','2013/2014'
'F1B110042','EL4115','B','2013/2014'
'F1B110045','EL4115','B','2013/2014'
'F1B110053','EL4115','B','2013/2014'
'F1B110055','EL4115','B','2013/2014'
'F1B110057','EL4115','B','2013/2014'
'F1B110062','EL4115','B','2013/2014'
'F1B110066','EL4115','B+','2013/2014'
'F1B110078','EL4115','B','2013/2014'
'F1B110005','EE4112','B','2013/2014'
'F1B110028','EE4112','B','2013/2014'
'F1B110033','EE4112','B+','2013/2014'
'F1B110059','EE4112','B','2013/2014'
'F1B110063','EE4112','B','2013/2014'
'F1B110006','EL4116','K','2013/2014'
'F1B110025','EL4116','B','2013/2014'
'F1B110027','EL4116','B','2013/2014'
'F1B110042','EL4116','B','2013/2014'
'F1B110045','EL4116','B+','2013/2014'
'F1B110053','EL4116','B','2013/2014'
'F1B110055','EL4116','B+','2013/2014'
'F1B110057','EL4116','B+','2013/2014'
'F1B110062','EL4116','B','2013/2014'
'F1B110066','EL4116','B+','2013/2014'
'F1B110078','EL4116','B','2013/2014'
'F1B111002','EU3141','B','2013/2014'
'F1B111005','EU3141','E','2013/2014'
'F1B111010','EU3141','E','2013/2014'
'F1B111012','EU3141','B+','2013/2014'
'F1B111014','EU3141','B','2013/2014'
'F1B111015','EU3141','D','2013/2014'
'F1B111017','EU3141','B+','2013/2014'
'F1B111021','EU3141','B','2013/2014'
'F1B111022','EU3141','E','2013/2014'
'F1B111024','EU3141','C','2013/2014'
'F1B111025','EU3141','B','2013/2014'
'F1B111026','EU3141','E','2013/2014'
'F1B111029','EU3141','B+','2013/2014'
'F1B111030','EU3141','E','2013/2014'
'F1B111031','EU3141','B+','2013/2014'
'F1B111034','EU3141','E','2013/2014'
'F1B111039','EU3141','B+','2013/2014'
'F1B111040','EU3141','B+','2013/2014'
'F1B111041','EU3141','B+','2013/2014'
'F1B111042','EU3141','E','2013/2014'
'F1B111043','EU3141','C+','2013/2014'
'F1B111047','EU3141','B','2013/2014'
'F1B111049','EU3141','B','2013/2014'
'F1B111053','EU3141','B+','2013/2014'
'F1B111054','EU3141','B+','2013/2014'
'F1B111059','EU3141','B+','2013/2014'
'F1B111063','EU3141','E','2013/2014'
'F1B111070','EU3141','B+','2013/2014'
'F1B111075','EU3141','E','2013/2014'
'F1B111077','EU3141','E','2013/2014'
'F1B111079','EU3141','B+','2013/2014'
'F1B111080','EU3141','B+','2013/2014'
'F1B111081','EU3141','B+','2013/2014'
'F1B111083','EU3141','B+','2013/2014'
'F1B111088','EU3141','C+','2013/2014'
'F1B110015','EU3139','E','2013/2014'
'F1B110070','EU3139','E','2013/2014'
'F1B111002','EU3139','C','2013/2014'
'F1B111005','EU3139','C+','2013/2014'
'F1B111012','EU3139','D+','2013/2014'
'F1B111014','EU3139','C+','2013/2014'
'F1B111015','EU3139','C+','2013/2014'
'F1B111017','EU3139','B','2013/2014'
'F1B111020','EU3139','D+','2013/2014'
'F1B111021','EU3139','C+','2013/2014'
'F1B111022','EU3139','D+','2013/2014'
'F1B111024','EU3139','B','2013/2014'
'F1B111025','EU3139','D+','2013/2014'
'F1B111026','EU3139','D+','2013/2014'
'F1B111029','EU3139','B','2013/2014'
'F1B111030','EU3139','D+','2013/2014'
'F1B111031','EU3139','B','2013/2014'
'F1B111034','EU3139','D+','2013/2014'
'F1B111039','EU3139','B','2013/2014'
'F1B111040','EU3139','C+','2013/2014'
'F1B111041','EU3139','C','2013/2014'
'F1B111042','EU3139','C','2013/2014'
'F1B111043','EU3139','B','2013/2014'
'F1B111053','EU3139','C+','2013/2014'
'F1B111054','EU3139','C+','2013/2014'
'F1B111059','EU3139','C','2013/2014'
'F1B111063','EU3139','C','2013/2014'
'F1B111070','EU3139','C+','2013/2014'
'F1B111075','EU3139','D','2013/2014'
'F1B111077','EU3139','C','2013/2014'
'F1B111079','EU3139','B+','2013/2014'
'F1B111080','EU3139','C','2013/2014'
'F1B111081','EU3139','C','2013/2014'
'F1B111083','EU3139','C','2013/2014'
'F1B111088','EU3139','D+','2013/2014'
'F1B112018','EU3139','E','2013/2014'
'F1B113035','EU3139','E','2013/2014'
'F1B110006','EL4113','D','2013/2014'
'F1B110025','EL4113','B+','2013/2014'
'F1B110027','EL4113','D','2013/2014'
'F1B110042','EL4113','C','2013/2014'
'F1B110045','EL4113','B','2013/2014'
'F1B110053','EL4113','D','2013/2014'
'F1B110055','EL4113','A','2013/2014'
'F1B110057','EL4113','C+','2013/2014'
'F1B110062','EL4113','C+','2013/2014'
'F1B110066','EL4113','B','2013/2014'
'F1B110078','EL4113','B','2013/2014'
'F1B110002','EK4025','A','2013/2014'
'F1B110003','EK4025','B+','2013/2014'
'F1B110009','EK4025','B','2013/2014'
'F1B110010','EK4025','B+','2013/2014'
'F1B110021','EK4025','A','2013/2014'
'F1B110026','EK4025','A','2013/2014'
'F1B110029','EK4025','B+','2013/2014'
'F1B110034','EK4025','B+','2013/2014'
'F1B110048','EK4025','B+','2013/2014'
'F1B110049','EK4025','B+','2013/2014'
'F1B110064','EK4025','B','2013/2014'
'F1B110068','EK4025','B+','2013/2014'
'F1B110079','EK4025','B+','2013/2014'
'F1B111001','EE3103','E','2013/2014'
'F1B111015','EE3103','C','2013/2014'
'F1B111023','EE3103','D+','2013/2014'
'F1B111024','EE3103','A','2013/2014'
'F1B111034','EE3103','B+','2013/2014'
'F1B111042','EE3103','C','2013/2014'
'F1B111047','EE3103','C','2013/2014'
'F1B111075','EE3103','C+','2013/2014'
'F1B111080','EE3103','A','2013/2014'
'F1B110014','EU2120','E','2013/2014'
'F1B110017','EU2120','K','2013/2014'
'F1B110029','EU2120','E','2013/2014'
'F1B110070','EU2120','K','2013/2014'
'F1B110076','EU2120','E','2013/2014'
'F1B111010','EU2120','E','2013/2014'
'F1B111032','EU2120','E','2013/2014'
'F1B112001','EU2120','C+','2013/2014'
'F1B112004','EU2120','E','2013/2014'
'F1B112005','EU2120','C','2013/2014'
'F1B112015','EU2120','B','2013/2014'
'F1B112016','EU2120','B+','2013/2014'
'F1B112017','EU2120','B+','2013/2014'
'F1B112024','EU2120','C+','2013/2014'
'F1B112025','EU2120','C','2013/2014'
'F1B112027','EU2120','D','2013/2014'
'F1B112030','EU2120','E','2013/2014'
'F1B112031','EU2120','B','2013/2014'
'F1B112034','EU2120','C+','2013/2014'
'F1B112036','EU2120','B+','2013/2014'
'F1B112037','EU2120','B+','2013/2014'
'F1B112038','EU2120','E','2013/2014'
'F1B112040','EU2120','E','2013/2014'
'F1B112041','EU2120','E','2013/2014'
'F1B112045','EU2120','K','2013/2014'
'F1B112048','EU2120','C','2013/2014'
'F1B112050','EU2120','E','2013/2014'
'F1B112051','EU2120','E','2013/2014'
'F1B112053','EU2120','E','2013/2014'
'F1B110038','EU1108','C','2013/2014'
'F1B112045','EU1108','E','2013/2014'
'F1B112046','EU1108','D+','2013/2014'
'F1B113001','EU1108','C','2013/2014'
'F1B113002','EU1108','B','2013/2014'
'F1B113003','EU1108','C+','2013/2014'
'F1B113004','EU1108','C','2013/2014'
'F1B113005','EU1108','E','2013/2014'
'F1B113006','EU1108','C','2013/2014'
'F1B113007','EU1108','E','2013/2014'
'F1B113008','EU1108','C','2013/2014'
'F1B113009','EU1108','D','2013/2014'
'F1B113010','EU1108','D','2013/2014'
'F1B113011','EU1108','C+','2013/2014'
'F1B113012','EU1108','E','2013/2014'
'F1B113013','EU1108','C','2013/2014'
'F1B113014','EU1108','D+','2013/2014'
'F1B113015','EU1108','C+','2013/2014'
'F1B113016','EU1108','C+','2013/2014'
'F1B113017','EU1108','C','2013/2014'
'F1B113018','EU1108','D+','2013/2014'
'F1B113019','EU1108','E','2013/2014'
'F1B113020','EU1108','D+','2013/2014'
'F1B113021','EU1108','C+','2013/2014'
'F1B113022','EU1108','C','2013/2014'
'F1B113023','EU1108','D','2013/2014'
'F1B113024','EU1108','D+','2013/2014'
'F1B113025','EU1108','E','2013/2014'
'F1B113026','EU1108','D','2013/2014'
'F1B113027','EU1108','D+','2013/2014'
'F1B113028','EU1108','C+','2013/2014'
'F1B113029','EU1108','C+','2013/2014'
'F1B113030','EU1108','C','2013/2014'
'F1B113031','EU1108','C','2013/2014'
'F1B113032','EU1108','C+','2013/2014'
'F1B113033','EU1108','C+','2013/2014'
'F1B113034','EU1108','C','2013/2014'
'F1B113035','EU1108','D+','2013/2014'
'F1B113036','EU1108','C','2013/2014'
'F1B113037','EU1108','C','2013/2014'
'F1B113038','EU1108','D','2013/2014'
'F1B113039','EU1108','C','2013/2014'
'F1B113040','EU1108','E','2013/2014'
'F1B110017','EK3104','E','2013/2014'
'F1B111006','EK3104','B','2013/2014'
'F1B111007','EK3104','B','2013/2014'
'F1B111008','EK3104','B+','2013/2014'
'F1B111009','EK3104','B','2013/2014'
'F1B111011','EK3104','B','2013/2014'
'F1B111019','EK3104','B+','2013/2014'
'F1B111027','EK3104','B','2013/2014'
'F1B111033','EK3104','B','2013/2014'
'F1B111035','EK3104','B+','2013/2014'
'F1B111045','EK3104','B+','2013/2014'
'F1B111051','EK3104','B','2013/2014'
'F1B111056','EK3104','B','2013/2014'
'F1B111062','EK3104','B+','2013/2014'
'F1B111066','EK3104','B','2013/2014'
'F1B111072','EK3104','B+','2013/2014'
'F1B111087','EK3104','B','2013/2014'
'F1B111089','EK3104','B','2013/2014'
'F1B110036','EE4023','K','2013/2014'
'F1B110067','EE4023','K','2013/2014'
'F1B111001','EE4023','K','2013/2014'
'F1B111007','EE4023','D+','2013/2014'
'F1B111008','EE4023','C','2013/2014'
'F1B111009','EE4023','D','2013/2014'
'F1B111011','EE4023','D','2013/2014'
'F1B111019','EE4023','B','2013/2014'
'F1B111027','EE4023','B','2013/2014'
'F1B111033','EE4023','D','2013/2014'
'F1B111035','EE4023','C+','2013/2014'
'F1B111045','EE4023','C','2013/2014'
'F1B111051','EE4023','C','2013/2014'
'F1B111056','EE4023','C','2013/2014'
'F1B111062','EE4023','C','2013/2014'
'F1B111072','EE4023','C+','2013/2014'
'F1B111087','EE4023','D','2013/2014'
'F1B111089','EE4023','B','2013/2014'
'F1B110002','EK4115','B','2013/2014'
'F1B110003','EK4115','B','2013/2014'
'F1B110009','EK4115','B','2013/2014'
'F1B110010','EK4115','C','2013/2014'
'F1B110016','EK4115','B','2013/2014'
'F1B110021','EK4115','C+','2013/2014'
'F1B110026','EK4115','B+','2013/2014'
'F1B110029','EK4115','B','2013/2014'
'F1B110034','EK4115','C','2013/2014'
'F1B110048','EK4115','B+','2013/2014'
'F1B110049','EK4115','C+','2013/2014'
'F1B110064','EK4115','C+','2013/2014'
'F1B110068','EK4115','B','2013/2014'
'F1B110071','EK4115','C+','2013/2014'
'F1B110079','EK4115','C+','2013/2014'
'F1B110002','EK4116','B+','2013/2014'
'F1B110003','EK4116','B','2013/2014'
'F1B110009','EK4116','B+','2013/2014'
'F1B110010','EK4116','B+','2013/2014'
'F1B110016','EK4116','B','2013/2014'
'F1B110021','EK4116','B+','2013/2014'
'F1B110026','EK4116','B+','2013/2014'
'F1B110029','EK4116','A','2013/2014'
'F1B110034','EK4116','B+','2013/2014'
'F1B110048','EK4116','B+','2013/2014'
'F1B110049','EK4116','B','2013/2014'
'F1B110064','EK4116','B+','2013/2014'
'F1B110068','EK4116','C+','2013/2014'
'F1B110071','EK4116','C+','2013/2014'
'F1B110079','EK4116','B+','2013/2014'
'F1B110030','EU3137','E','2013/2014'
'F1B110038','EU3137','C','2013/2014'
'F1B110045','EU3137','D+','2013/2014'
'F1B110055','EU3137','B','2013/2014'
'F1B110072','EU3137','D','2013/2014'
'F1B111002','EU3137','D','2013/2014'
'F1B111005','EU3137','E','2013/2014'
'F1B111009','EU3137','E','2013/2014'
'F1B111012','EU3137','E','2013/2014'
'F1B111014','EU3137','E','2013/2014'
'F1B111015','EU3137','E','2013/2014'
'F1B111017','EU3137','D','2013/2014'
'F1B111019','EU3137','E','2013/2014'
'F1B111020','EU3137','E','2013/2014'
'F1B111021','EU3137','D+','2013/2014'
'F1B111024','EU3137','D','2013/2014'
'F1B111025','EU3137','E','2013/2014'
'F1B111027','EU3137','D','2013/2014'
'F1B111029','EU3137','E','2013/2014'
'F1B111031','EU3137','E','2013/2014'
'F1B111033','EU3137','E','2013/2014'
'F1B111034','EU3137','E','2013/2014'
'F1B111039','EU3137','C','2013/2014'
'F1B111040','EU3137','E','2013/2014'
'F1B111041','EU3137','D+','2013/2014'
'F1B111043','EU3137','D+','2013/2014'
'F1B111047','EU3137','D','2013/2014'
'F1B111049','EU3137','E','2013/2014'
'F1B111051','EU3137','D+','2013/2014'
'F1B111053','EU3137','D+','2013/2014'
'F1B111054','EU3137','C','2013/2014'
'F1B111059','EU3137','E','2013/2014'
'F1B111063','EU3137','E','2013/2014'
'F1B111075','EU3137','D','2013/2014'
'F1B111077','EU3137','E','2013/2014'
'F1B111080','EU3137','C','2013/2014'
'F1B111081','EU3137','E','2013/2014'
'F1B111083','EU3137','E','2013/2014'
'F1B111087','EU3137','E','2013/2014'
'F1B111088','EU3137','D','2013/2014'
'F1B111089','EU3137','D','2013/2014'
'F1B113035','EU3137','K','2013/2014'
'F1B110006','EL4026','C+','2013/2014'
'F1B110025','EL4026','A','2013/2014'
'F1B110042','EL4026','C+','2013/2014'
'F1B110045','EL4026','C+','2013/2014'
'F1B110055','EL4026','B','2013/2014'
'F1B110057','EL4026','B+','2013/2014'
'F1B110062','EL4026','B+','2013/2014'
'F1B110066','EL4026','A','2013/2014'
'F1B110078','EL4026','B','2013/2014'
'F1B111005','ET3102','C+','2013/2014'
'F1B111010','ET3102','D','2013/2014'
'F1B111012','ET3102','C+','2013/2014'
'F1B111017','ET3102','B+','2013/2014'
'F1B111022','ET3102','C+','2013/2014'
'F1B111025','ET3102','D','2013/2014'
'F1B111026','ET3102','B','2013/2014'
'F1B111032','ET3102','D','2013/2014'
'F1B111039','ET3102','B+','2013/2014'
'F1B111040','ET3102','C','2013/2014'
'F1B111049','ET3102','C+','2013/2014'
'F1B111054','ET3102','C+','2013/2014'
'F1B111070','ET3102','C','2013/2014'
'F1B111081','ET3102','D+','2013/2014'
'F1B111083','ET3102','D+','2013/2014'
'F1B110002','EK4114','B','2013/2014'
'F1B110003','EK4114','C','2013/2014'
'F1B110005','EK4114','B','2013/2014'
'F1B110009','EK4114','B','2013/2014'
'F1B110010','EK4114','C+','2013/2014'
'F1B110016','EK4114','C','2013/2014'
'F1B110021','EK4114','B','2013/2014'
'F1B110026','EK4114','C+','2013/2014'
'F1B110028','EK4114','B+','2013/2014'
'F1B110029','EK4114','C+','2013/2014'
'F1B110033','EK4114','B','2013/2014'
'F1B110034','EK4114','B','2013/2014'
'F1B110036','EK4114','B','2013/2014'
'F1B110048','EK4114','C','2013/2014'
'F1B110049','EK4114','C+','2013/2014'
'F1B110059','EK4114','C+','2013/2014'
'F1B110063','EK4114','C+','2013/2014'
'F1B110064','EK4114','B','2013/2014'
'F1B110067','EK4114','C+','2013/2014'
'F1B110068','EK4114','B','2013/2014'
'F1B110071','EK4114','C','2013/2014'
'F1B110077','EK4114','C+','2013/2014'
'F1B110079','EK4114','C+','2013/2014'
'F1B110005','EU3148','B+','2013/2014'
'F1B110059','EU3148','B+','2013/2014'
'F1B110063','EU3148','B+','2013/2014'
'F1B110077','EU3148','B+','2013/2014'
'F1B111002','EU3148','B+','2013/2014'
'F1B111014','EU3148','B+','2013/2014'
'F1B111015','EU3148','B+','2013/2014'
'F1B111021','EU3148','B+','2013/2014'
'F1B111023','EU3148','C+','2013/2014'
'F1B111024','EU3148','C+','2013/2014'
'F1B111029','EU3148','A','2013/2014'
'F1B111030','EU3148','E','2013/2014'
'F1B111031','EU3148','A','2013/2014'
'F1B111034','EU3148','B','2013/2014'
'F1B111041','EU3148','B+','2013/2014'
'F1B111042','EU3148','B','2013/2014'
'F1B111043','EU3148','B+','2013/2014'
'F1B111047','EU3148','B','2013/2014'
'F1B111053','EU3148','A','2013/2014'
'F1B111059','EU3148','B','2013/2014'
'F1B111063','EU3148','B','2013/2014'
'F1B111075','EU3148','B','2013/2014'
'F1B111077','EU3148','B','2013/2014'
'F1B111079','EU3148','A','2013/2014'
'F1B111080','EU3148','B+','2013/2014'
'F1B111088','EU3148','B+','2013/2014'
'F1B110005','EE3014','B+','2013/2014'
'F1B110028','EE3014','B','2013/2014'
'F1B110033','EE3014','B','2013/2014'
'F1B110063','EE3014','B','2013/2014'
'F1B111001','EE3014','K','2013/2014'
'F1B111005','ET3101','B','2013/2014'
'F1B111012','ET3101','B','2013/2014'
'F1B111017','ET3101','B+','2013/2014'
'F1B111020','ET3101','D','2013/2014'
'F1B111022','ET3101','B','2013/2014'
'F1B111025','ET3101','C+','2013/2014'
'F1B111026','ET3101','B','2013/2014'
'F1B111039','ET3101','B+','2013/2014'
'F1B111040','ET3101','B+','2013/2014'
'F1B111049','ET3101','B','2013/2014'
'F1B111054','ET3101','B','2013/2014'
'F1B111070','ET3101','B','2013/2014'
'F1B111081','ET3101','B','2013/2014'
'F1B111083','ET3101','B','2013/2014'
'F1B110062','EL3103','B','2013/2014'
'F1B111002','EL3103','B','2013/2014'
'F1B111014','EL3103','C','2013/2014'
'F1B111021','EL3103','C+','2013/2014'
'F1B111029','EL3103','B','2013/2014'
'F1B111030','EL3103','D+','2013/2014'
'F1B111031','EL3103','B','2013/2014'
'F1B111041','EL3103','D+','2013/2014'
'F1B111043','EL3103','B','2013/2014'
'F1B111053','EL3103','D+','2013/2014'
'F1B111059','EL3103','D+','2013/2014'
'F1B111063','EL3103','C','2013/2014'
'F1B111077','EL3103','D+','2013/2014'
'F1B111079','EL3103','C','2013/2014'
'F1B111088','EL3103','C','2013/2014'
